Barbie (I) (2023),"Adventure, Comedy, Fantasy",Barbie suffers a crisis that leads her to question her world and her existence.
The F Word (I) (2013),"Comedy, Romance","Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life."
Seal of Desire (2022),"Romance, Thriller",An attractive psychologist who specializes in couples therapy uses his intuitive skills to expose cheating spouses and seduce their heart-broken wives. But the player becomes a pawn when he...See full summary»
Something from Tiffany's (2022),"Comedy, Family, Romance",Follows a woman as her life gets upended when an engagement ring that was for someone else leads her to the person she's meant to be with.
The Nest (I) (2020),"Drama, Romance",Life for an entrepreneur and his American family begins to take a twisted turn after moving into an English country manor.
Enough Said (2013),"Comedy, Drama, Romance",A divorced woman who decides to pursue the man she's interested in learns he's her new friend's ex-husband.
Lucas (1986),"Comedy, Drama, Romance","A socially inept fourteen-year-old experiences heartbreak for the first time when his two best friends - Cappie, an older-brother figure, and Maggie, the new girl with whom he is in love - fall for each other."
Sam & Kate (2022),"Comedy, Drama, Romance",A son returns to his small hometown to take care of his ailing father.
First Knight (1995),"Action, Adventure, Drama","Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table."
Diary of a Mad Black Woman (2005),"Comedy, Drama, Romance",A couple's seemingly solid marriage begins to crumble when the wife discovers that her husband intends to divorce her.
My Super Ex-Girlfriend (2006),"Comedy, Romance, Sci-Fi","When a regular guy dumps a superhero for her neediness, she uses her powers to make his life a living hell."
Prom Pact (2023),"Comedy, Family, Romance","Follows the main character, a feminist who doesn't believe in the idea of falling in love, especially in heteronormative love, but then she falls and there's undeniable chemistry."
Colors (1988),"Action, Crime, Drama",An experienced cop and his rookie partner patrol the streets of East Los Angeles while trying to keep the gang violence under control.
Rings (2017),"Drama, Horror, Mystery",A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.
Indian Summer (1993),"Comedy, Drama, Romance",Seven friends reunite for a week-long reunion at a summer camp in Ontario they used to attend as children which is now threatened with being closed down.
Fucking Åmål (1998),"Comedy, Drama, Romance","Two teenage girls in small-town Sweden. Elin is beautiful, popular, and bored with life. Agnes is friendless, sad, and secretly in love with Elin."
Baby Boy (2001),"Crime, Drama, Romance","In South Central L.A., a misguided 20-year-old African-American man, a ""baby boy"", faces the commitments of real life."
J. Edgar (2011),"Biography, Drama, Romance","J. Edgar Hoover, powerful head of the F.B.I. for nearly fifty years, looks back on his professional and personal life."
Mighty Aphrodite (1995),"Comedy, Fantasy, Romance","When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute."
Bridget Jones: The Edge of Reason (2004),"Comedy, Drama, Romance","After finding love, Bridget Jones questions if she really has everything she'd ever dreamed of having."
Koto no ha no niwa (2013),"Animation, Drama, Romance",A 15-year-old boy and 27-year-old woman find an unlikely friendship one rainy day in the Shinjuku Gyoen National Garden.
Runaway Bride (1999),"Comedy, Romance",A reporter is assigned to write a story about a woman who has left a string of fiancés at the altar.
The Last Song (2010),"Drama, Music, Romance","A rebellious girl is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect."
Something Wild (1986),"Comedy, Crime, Romance","A free-spirited woman ""kidnaps"" a yuppie for a weekend of adventure. But the fun quickly takes a dangerous turn when her ex-convict husband shows up."
The Aftermath (2019),"Drama, Romance, War","Post World War II, a British colonel and his wife are assigned to live in Hamburg during the post-war reconstruction, but tensions arise with the German who previously owned the house."
L'avventura (1960),"Drama, Mystery, Romance","A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other."
Larry Crowne (2011),"Comedy, Drama, Romance","After losing his job, a middle-aged man reinvents himself by going back to college."
The Pride of the Yankees (1942),"Biography, Drama, Romance",The story of the life and career of famed baseball playerLou Gehrig.
Kimi no suizô o tabetai (2018),"Animation, Drama, Family","A high school student discovers one of his classmates, Sakura Yamauchi, is suffering from a terminal illness. This secret brings the two together, as she lives out her final moments."
Collateral Beauty (2016),"Drama, Romance","Retreating from life after a tragedy, a man questions the universe by writing to Love, Time, and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty."
Il fiore delle mille e una notte (1974),"Comedy, Drama, Fantasy","In ancient Arabia, a beautiful slave girl chooses a youth to be her new master, then she is kidnapped and they must search for each other. Stories are told within stories: love, travel and the whims of destiny."
The Crush (1993),"Crime, Drama, Romance","A journalist becomes the unwanted center of attention for a 14-year-old girl, who proceeds to sabotage his life after he refuses her sexual advances."
Age of Consent (1969),"Biography, Comedy, Drama","A grizzled Australian painter decides to jolt his stale creativity by moving to a remote island on the Great Barrier Reef, where he takes on an alluring, uninhibited young woman as his muse."
Ghosts of Girlfriends Past (2009),"Comedy, Fantasy, Romance","While attending his brother's wedding, a serial womanizer is haunted by the ghosts of his past girlfriends."
Greenberg (2010),"Comedy, Drama, Romance","A man from Los Angeles, who moved to New York years ago, returns to L.A. to figure out his life while he house-sits for his brother. He soon sparks with his brother's assistant."
Made of Honor (2008),"Comedy, Romance",A guy in love with an engaged woman tries to win her over after she asks him to be her maid of honor.
SLC Punk! (1998),"Comedy, Drama, Music","In the early 1980s Stevo, and Heroin Bob are the only two dedicated punks in conservative Salt Lake City."
Hannah Montana: The Movie (2009),"Comedy, Drama, Family","As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most."
Words on Bathroom Walls (2020),"Drama, Romance","Diagnosed with a mental illness halfway through his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to not be defined by his condition."
